activity(n) занятие деятельность #
already уже #
amount(n) количество #
annoy раздражать #
appear появляться #
atom(n) атом #
author(n) автор #
biography(n) биография #
blind слепой #
brain(n) мозг #
cancel отменить #
cartoon(n) мультфильм мультик#
catchy броский #
character персонаж #
cinema(n) кинотеатр #
circle(n) круг #
circus(n) цирк #
common обычный #
complain жаловаться #
compose сочинять придумывать #
composer(n) композитор #
concert(n) выступление концерт #
congratulate поздравлять #
correct исправлять #
dictionary(n) словарь #
dramatic драматический #
dream(n) мечта #
drummer(n) барабанщик #
enormous огромный #
environment(n) среда #
event(n) присшествие событие #
excited взволнованный #
exotic экзотический #
expensive дорогой #
famous известный #
farmhouse(n) ферма #
field(n) поле #
government(n) правительство #
guess(n) догадка #
horror(n) ужас #
human(n) человек #
important важный #
improve улучшать #
inspiration(n) вдохновение #
intrigued заинтригованный #
invent изобретать #
investigate исследовать #
jealous завистливый #
jewellery(n) драгоценности #
laboratory(n) лаборатория #
laughter(n) смех #
literature(n) литература #
lucky счастливый #
masterpiece(n) шедевр #
medicine(n) медицина лекарство #
melody(n) мелодия #
memory(n) память #
mention упоминать #
message(n) смс сообщение #
messy неряшливый #
mistake(n) ошибка #
moon(n) Луна #
mountain(n) гора #
mysterious загадочный #
mystery загадка #
nightmare(n) кошмар #
novel(n) роман #
oil(n) масло #
payment(n) оплата #
piano(n) фортепиано пианино #
poem(n) стихотворение #
poetry(n) поэзия #
publish публиковать #
realize осознавать #
refuse отказывать #
revise пересматривать #
scientific научный #
scientist ученый #
sentimental чувствительный #
sheep(n) овца #
solve решить #
step(n) шаг #
story(n) рассказ история #
stranger(n) незнакомец #
success(n) успех #
thought(n) мысль #
travel путешествовать #
unforgettable незабываемый #
violin(n) скрипка #
wander бродить #
weird странный #
wheel(n) колесо #
win выигрывать #
writer(n) писатель #
